food,portion,units,gross_weight,net_weight,energy,carbs,clasification
Abulón fresco,40,g,40.0,40.0,42.0,2.4,A.O.A MUY BAJOS EN GRASA
Acociles,50,g,50.0,35.0,37.0,0.9,A.O.A MUY BAJOS EN GRASA
Aguayón,30,g,30.0,30.0,42.0,0.0,A.O.A MUY BAJOS EN GRASA
Aguayón de res,30,g,30.0,30.0,42.0,0.0,A.O.A MUY BAJOS EN GRASA
Ahuahutle seco,10,g,10.0,10.0,39.0,0.2,A.O.A MUY BAJOS EN GRASA
Alce crudo,35,g,35.0,35.0,36.0,0.0,A.O.A MUY BAJOS EN GRASA
Almeja chirla,50,g,50.0,50.0,41.0,0.7,A.O.A MUY BAJOS EN GRASA
Almeja cruda mediana sin concha,4,pieza,58.0,58.0,43.0,1.5,A.O.A MUY BAJOS EN GRASA
Almeja fresca sin concha,4,pieza,58.0,58.0,43.0,1.5,A.O.A MUY BAJOS EN GRASA
Alón de pollo sin piel,1,pieza,55.0,29.0,37.0,0.0,A.O.A MUY BAJOS EN GRASA
Anchoa fresca,30,g,30.0,30.0,39.0,0.0,A.O.A MUY BAJOS EN GRASA
Anillos de calamar,1/4,taza,38.0,38.0,34.0,1.2,A.O.A MUY BAJOS EN GRASA
Armadillo,30,g,30.0,21.0,35.0,0.0,A.O.A MUY BAJOS EN GRASA
Arrachera de avestruz,40,g,40.0,40.0,36.0,0.0,A.O.A MUY BAJOS EN GRASA
Atún blanco en agua (drenado),1/3,lata,33.0,33.0,43.0,0.0,A.O.A MUY BAJOS EN GRASA
Atún en agua drenado,1/3,lata,33.0,33.0,39.0,0.0,A.O.A MUY BAJOS EN GRASA
Atún fresco,30,g,30.0,30.0,43.0,0.0,A.O.A MUY BAJOS EN GRASA
Atún horneado,20,g,20.0,20.0,37.0,0.0,A.O.A MUY BAJOS EN GRASA
Atún lihgt (drenado),1/3,lata,33.0,33.0,39.0,0.0,A.O.A MUY BAJOS EN GRASA
Bacalao enlatado,35,g,35.0,35.0,37.0,0.0,A.O.A MUY BAJOS EN GRASA
Bacalao fresco,45,g,45.0,45.0,37.0,0.0,A.O.A MUY BAJOS EN GRASA
Bacalao noruego,15,g,15.0,15.0,44.0,0.0,A.O.A MUY BAJOS EN GRASA
Bacalao seco,15,g,15.0,15.0,44.0,0.0,A.O.A MUY BAJOS EN GRASA
Bagre,80,g,80.0,40.0,38.0,0.0,A.O.A MUY BAJOS EN GRASA
Bagre fileteado,40,g,40.0,40.0,38.0,0.0,A.O.A MUY BAJOS EN GRASA
Bistec,30,g,30.0,30.0,36.0,0.0,A.O.A MUY BAJOS EN GRASA
Bistec de res,30,g,30.0,30.0,36.0,0.0,A.O.A MUY BAJOS EN GRASA
Bola de ternera,35,g,35.0,35.0,41.0,0.0,A.O.A MUY BAJOS EN GRASA
Boquerón crudo,45,g,45.0,36.0,41.0,0.0,A.O.A MUY BAJOS EN GRASA
"Boquilla, crudo",75,g,75.0,38.0,31.0,0.0,A.O.A MUY BAJOS EN GRASA
Cabeza de pescado,400,g,400.0,40.0,40.0,0.0,A.O.A MUY BAJOS EN GRASA
Cabrilla,75,g,75.0,38.0,31.0,0.0,A.O.A MUY BAJOS EN GRASA
Cabrito,25,g,25.0,25.0,36.0,0.0,A.O.A MUY BAJOS EN GRASA
