ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
Abulón fresco,40,g,40,40,42,6.8,0.3,2.4,33.9,0.9,12.2,1.3,120.5,17.9
Acociles,50,g,50,35,37,7.4,0.5,0.9,ND,2.8,1137.5,2.9,0.0,ND
Aguayón,30,g,30,30,42,6.3,1.9,0.0,18.6,1.8,1.8,0.7,18.9,5.9
Aguayón de res,30,g,30,30,42,6.4,1.9,0.0,18.6,1.8,1.8,0.7,18.9,5.9
Ahuahutle seco,10,g,10,10,39,7.8,0.4,0.2,ND,ND,10.4,1.0,ND,ND
Alce crudo,35,g,35,35,36,7.0,0.3,0.0,20.7,0.0,1.8,1.1,22.8,3.4
Almeja chirla,50,g,50,50,41,7.4,0.4,0.7,15.5,0.0,ND,1.7,18.0,12.2
Almeja cruda mediana sin concha,4,pieza,58,58,43,7.4,0.6,1.5,19.8,52.2,26.6,8.1,32.8,14.10
Almeja fresca sin concha,4,pieza,58,58,43,7.4,0.6,1.5,19.8,52.2,26.6,8.1,32.8,14.10
Alón de pollo sin piel,1,pieza,55,29,37,6.4,1.0,0.0,16.6,5.2,3.8,0.3,23.6,5.2
Anchoa fresca,30,g,30,30,39,6.1,1.4,0.0,18.0,4.6,44.1,1.0,31.1,11.0
Anillos de calamar,1/4,taza,38,38,34,5.9,0.5,1.2,87.4,3.8,11.9,0.3,16.3,16.8
Armadillo,30,g,30,21,35,6.1,1.1,0.0,ND,ND,6.3,2.3,ND,ND
Arrachera de avestruz,40,g,40,40,36,8.2,0.4,0.0,24.0,ND,ND,ND,32.0,7.9
Atún blanco en agua (drenado),1/3,lata,33,33,43,7.9,1.0,0.0,14.1,2.0,4.7,0.3,125.7,21.9
Atún en agua drenado,1/3,lata,33,33,39,8.5,0.3,0.0,10.0,5.7,3.7,0.5,112.7,26.8
Atún fresco,30,g,30,30,43,7.0,1.5,0.0,11.3,196.6,2.5,0.3,11.6,11.0
Atún horneado,20,g,20,20,37,6.0,1.3,0.0,9.9,151.4,2.0,0.3,10.0,9.4
Atún lihgt (drenado),1/3,lata,33,33,39,8.5,0.3,0.0,10.0,5.7,3.7,0.5,112.7,26.8
Bacalao enlatado,35,g,35,35,37,8.0,0.3,0.0,19.3,4.9,7.4,0.2,76.3,3.0
Bacalao fresco,45,g,45,45,37,8.0,0.3,0.0,19.4,5.3,7.4,0.2,24.4,14.9
Bacalao noruego,15,g,15,15,44,9.4,0.4,0.0,22.8,6.4,24.0,0.4,1054.1,22.2
Bacalao seco,15,g,15,15,44,9.4,0.4,0.0,22.8,6.4,24.0,0.4,1054.1,22.2
Bagre,80,g,80,40,38,7.0,1.1,0.0,30.0,ND,12.8,0.2,24.0,5.6
Bagre fileteado,40,g,40,40,38,7.0,1.1,0.0,30.0,ND,12.8,0.2,24.0,5.6
Bistec,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
Bistec de res,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
Bola de ternera,35,g,35,35,41,7.3,1.1,0.0,27.3,0.0,1.8,0.3,22.1,3.2
Boquerón crudo,45,g,45,36,41,6.4,1.7,0.0,ND,0.0,203.8,0.4,ND,5.0
"Boquilla, crudo",75,g,75,38,31,7.5,0.1,0.0,ND,ND,3.8,ND,ND,5.4
Cabeza de pescado,400,g,400,40,40,8.2,0.5,0.0,14.6,12.2,12.7,0.1,25.4,5.6
Cabrilla,75,g,75,38,31,7.7,0.0,0.0,ND,ND,5.7,0.0,ND,5.4
Cabrito,25,g,25,25,36,6.8,0.8,0.0,18.8,0.0,4.3,0.9,21.5,9.5
Calamar americano,45,g,45,45,41,7.0,0.6,1.4,104.8,4.5,14.3,0.3,19.6,20.2
Calamar crudo,45,g,45,45,41,7.0,0.6,1.4,104.8,4.5,14.3,0.3,19.6,20.2
Calamar fresco entero,45,g,45,45,41,7.0,0.6,1.4,104.8,4.5,14.3,0.3,19.6,20.2
Calamar fresco limpio,45,g,45,45,42,8.1,0.6,1.4,104.8,4.5,14.3,0.3,19.6,20.2
Camarón 16-20,2,pieza,50,40,34,7.1,0.7,0.4,60.7,21.6,20.7,1.0,59.3,15.2
Camarón cocido,5,pieza,34,34,38,7.3,0.4,0.0,66.3,23.1,13.3,1.1,76.2,13.5
Camarón crudo mediano,6,pieza,45,36,40,5.0,0.6,0.3,54.6,19.5,18.6,0.9,53.4,13.7
Camarón de surimi,40,g,40,40,32,6.5,0.6,3.7,14.4,8.0,7.6,0.2,282.0,9.2
Camarón enlatado,1/4,taza,32,32,42,8.1,0.4,0.0,80.6,0.0,46.4,0.7,248.6,15.2
Camarón gigante,2,pieza,50,40,38,7.3,0.7,0.4,60.7,21.6,20.7,1.0,59.3,15.2
Camarón pacotilla,6,pieza,36,36,33,7.5,0.6,0.3,54.7,19.4,18.7,0.9,53.3,13.7
Camarón seco,10,g,10,9,33,7.5,0.2,0.5,ND,1.4,61.6,0.4,220.5,3.6
Camarón seco salado,10,g,10,9,42,8.1,0.2,0.5,ND,1.4,61.6,0.4,220.5,3.6
Camarón U15,2,pieza,50,40,37,7.6,0.7,0.4,60.7,21.6,20.7,1.0,59.3,15.2
Cangrejo,2,pieza,42,42,41,8.1,0.4,0.0,32.6,1.0,37.6,0.3,123.0,15.7
Cangrejp cocido,40,g,40,40,41,8.1,0.7,0.0,40.0,0.9,41.4,0.4,111.5,16.1
Cangrejo de Alaska,40,g,40,40,41,8.1,0.7,0.0,40.0,2.8,18.4,0.2,334.6,14.6
Cangrejo de Alaska cocido,40,g,40,40,41,8.1,0.7.,0.0,40.0.,3.8,23.5,0.3,428.8,16.0
Cangrejo enlatado,1/4,taza,34,34,33,6.9,0.4,0.0,30.2,0.8,34.1,0.3,112.4,10.7
Carne de alce cocida,25,g,25,25,34,7.3,0.2,0.0,19.5,0.0,1.5,1.1,17.3,3.2
Carne de armadillo,35,g,35,25,40,7.1,1.3,0.0,ND,ND,ND,ND,ND,ND
