ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),AG Saturados (g),AG Monoinsaturados (g),AG Poliinsatuirados (g),Colesterol (mg),Sodio (mg)
Aceite,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite comestible,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,
Aceite de aguacate,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,3.5,0.7,0.0,0.0
Aceite de ajonjolí,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
,1,cucharadita,5,5,44,0.0,5.0,0.0,1.3,0.9,2.6,0.0,0.0
Aceite de almendra,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,3.5,0.9,0.0,0.0
Aceite de cachuate,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,2.3,1.6,0.0,0.0
Aceite de cacao,1,cucharadita,5,5,44,0.0,5.0,0.0,3.0,1.6,0.1,0.0,0.0
Aceite de canola,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite de cártamo,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
Aceite de coco,1,cucharadita,5,5,43,0.0,5.0,0.0,4.3,0.3,0.1,0.0,0.0
Aceite de girasol,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 60% con ácido linoleico,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 70% con ácido aleico,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,2.3,1.8,0.0,0.0
Aceite de hígado de bacalao,1,cucharadita,5,5,45,0.0,5.0,0.0,1.1,2.3,1.1,28.6,0.0
Aceite de maíz,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceite de oliva,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de oliva extra virgen,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de olivo,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de palma,1,cucharadita,5,5,44,0.0,5.0,0.0,2.5,1.9,0.5,0.0,0.0
Aceite de soya,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,1.1,2.6,0.0,0.0
Aceite de soya y algodón,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,1.5,2.4,0.0,0.0
Aceite en spray,5,disp.de un segundo,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceituna negra sin hueso,5,pieza,25,25,46,0.3,5.0,0.8,0.5,3.8,0.3,0.0,600.0
Aceituna verde con hueso,6,pieza,30,25,46,0.3,5.1,0.8,0.5,3.8,0.3,0.0,604.8
Aceituna verde sin hueso,8,pieza,24,24,44,0.3,4.8,0.8,0.5,3.6,0.2,0.0,576.0
Aceitunas rellenas de anchoa,5,pieza,25,25,46,0.6,4.5,0.8,0.0,0.0,0.0,0.0,600.0
Aceitunas rellenas de pimiento,7,pieza,35,35,44,0.0,3.5,2.6,0.9,2.6,0.0,0.0,306.3
Aderezo,3,cucharada,45,45,48,0.0,4.5,2.1,0.6,0.9,2.7,2.7,354.0
