ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
Achiote                                                                                                                        ,1/4,cucharada,4,4,10,0.5,0.1,2.1,0.0
Agua,1,taza,240,240,2,0.0,0.0,0.0,7.1
Agua mineral,1,lata,355,355,4,0.0,0.0,0.0,74.6
Ajo en polvo,1/2,cucharadita,2,2,5,0.3,0.0,1.1,0.5
Albahaca deshidratada,1 1/2,cucharadita,2,2,5,0.2,0.0,0.9,0.0
Albahaca molida,1 1/2,cucharadita,2,2,5,0.2,0.0,0.9,0.0
Alcaparras,2,cucharada,17,17,4,0.4,0.1,0.8,509.8
Alcaravea,1/2,cucharadita,1,1,4,0.2,0.2,0.5,0.0
Anís,1/2,cucharadita,1,1,4,0.2,0.2,0.5,0.0
Arúgula,1,taza,20,12,3,0.3,0.1,0.4,3.2
Aspartame,1,sobre,1,1,0,0.0,0.0,0.0,0.0
Azafrán,1,cucharadita,1,1,3,0.1,0.1,0.7,1.0
Café americano,1,taza,240,240,5,0.3,0.0,0.9,5.4
Café con azúcar,1,taza,240,240,5,0.3,0.0,8.2,5.4
Café de grano,7,cucharada,56,56,4,11.2,0.0,0.0,0.0
Café descafeinado,1,taza,240,240,5,0.3,0.0,0.9,5.4
Café descafeinado preparado,1,taza,240,240,5,0.3,0.0,0.9,5.4
Café en polvo,1/2,cucharada,1,1,4,0.1,0.0,0.9,0.8
Café de polvo descafeinado,1,cucharadita,2,2,4,0.2,0.0,0.7,1.0
Café en polvo sabor moka,2,cucharadita,4,4,8,0.4,0.0,1.4,2.0
Café express,5 1 /2,taza,440,440,10,0.5,0.0,1.7,9.9
Café instantáneo,1,cucharadita,2,2,4,0.2,0.0,0.7,1.0
Café intantánio preparado,1,taza,240,240,5,0.3,0.0,0.9,6.7
"Café instantáneo, descafeinado",1,cucharadita,2,2,4,0.2,0.0,0.8,0.0
Café molido,1,cucharada,4,4,1,0.8,0.0,0.0,0.0
Café ó té sin azúcar,1,taza,240,240,3,0.0,0.0,0.5,2.7
Café sin azúcar,1,taza,240,240,5,0.3,0,0.9,5.4
